DOI,year,PDF,node_id
10.1002/dta.3664,2024,Drug Testing and Analysis - 2024 - Li - Gene doping detection in the era of genomics.pdf,233
10.1038/s41592-021-01124-4,2021,Xu et al. - 2021 - Programmable RNA editing with compact CRISPR–Cas13 systems from uncultivated microbes.pdf,234
10.1038/s41598-024-81198-0,2024,Sakurai et al. - 2024 - Efficient genome editing of two-cell mouse embryos via modified CRISPRCas electroporation.pdf,235
10.1186/s13007-016-0148-0,2016,Hopes et al. - 2016 - Editing of the urease gene by CRISPR-Cas in the diatom Thalassiosira pseudonana.pdf,236
10.1016/j.ijbiomac.2024.129581,2024,1-s2.0-S0141813024003842-main.pdf,237
10.1073/pnas.1712963115,2018,Wang et al. - 2018 - Nonviral gene editing via CRISPRCas9 delivery by membrane-disruptive and endosomolytic helical poly.pdf,238
10.1538/expanim.23-0045,2023,Sakai et al. - 2023 - An efficient evaluation system for factors affecting the genome editing efficiency in mouse.pdf,239
10.1038/nature16526,2016,Kleinstiver et al. - 2016 - High-fidelity CRISPR–Cas9 nucleases with no detectable genome-wide off-target effects.pdf,240
10.3390/plants12203564,2023,Tsakirpaloglou et al. - 2023 - Guidelines for Performing CRISPRCas9 Genome Editing for Gene Validation and Trait Improvement in Cr.pdf,241
10.1016/j.cell.2014.05.010,2014,Hsu et al. - 2014 - Development and Applications of CRISPR-Cas9 for Genome Engineering.pdf,242
10.1016/j.mimet.2023.106860,2023,1-s2.0-S016770122300194X-main.pdf,243
10.1186/s13007-024-01173-8,2024,Villette et al. - 2024 - New improvements in grapevine genome editing high efficiency biallelic homozygous knock-out from re.pdf,244
10.1007/s12257-023-0226-x,2023,s12257-023-0226-x.pdf,245
10.1073/pnas.2002746117,2020,Deem - 2020 - CRISPR recognizes as many phage types as possible without overwhelming the Cas machinery.pdf,246
10.3390/v11010028,2019,Xu et al. - 2019 - Viral Delivery Systems for CRISPR.pdf,247
10.1093/nar/gkae516,2024,Jiang et al. - 2024 - A new anti-CRISPR gene promotes the spread of drug-resistance plasmids in Klebsiella pneumoniae.pdf,248
10.1126/science.aad8282,2016,Jiang et al. - 2016 - Structures of a CRISPR-Cas9 R-loop complex primed for DNA cleavage.pdf,249
10.5483/bmbrep.2023-0050,2024,Oh et al. - 2024 - Harnessing CRISPR-Cas adaptation for RNA recording and beyond.pdf,250
10.1038/s41573-020-0084-6,2020,Porto et al. - 2020 - Base editing advances and therapeutic opportunities.pdf,251
10.1093/bioadv/vbad138,2023,Barkai et al. - 2023 - OffRisk a docker image for annotating CRISPR off-target sites in the human genome.pdf,252
10.3389/fgeed.2023.1200987,2023,Kumari et al. - 2023 - Regulation and safety measures for nanotechnology-based agri-products.pdf,253
10.3389/fmicb.2020.578737,2020,Petrie - 2020 - There’re CRISPRs in My Yogurt A Discovery-Based CURE at the Intersection of Industrial Food Product.pdf,254
10.1016/j.molp.2015.04.007,2015,"Ma et al. - 2015 - A Robust CRISPRCas9 System for Convenient, High-Efficiency Multiplex Genome Editing in Monocot and.pdf",255
10.3390/ijms242015317,2023,Li et al. - 2023 - CRISPRCas9 Editing Sites Identification and Multi-Elements Association Analysis in Camellia sinensi.pdf,256
10.1038/nbt.3806,2017,Staahl et al. - 2017 - Efficient genome editing in the mouse brain by local delivery of engineered Cas9 ribonucleoprotein c.pdf,257
10.1089/hum.2023.114,2024,EMS194183.pdf,258
10.1126/science.1232033,2013,Mali et al. - 2013 - RNA-Guided Human Genome Engineering via Cas9.pdf,259
10.1016/s0092-8674(02)00621-9,2002,Van Dyke and Jacks - 2002 - Cancer Modeling in the Modern Era.pdf,260
10.1002/cjoc.202300452,2023,Chinese Journal of Chemistry - 2023 - Zhang - Photo‐Modulation of Gene‐Editing Enzymes CRISPR Cas9 with Bifunctional.pdf,261
10.7203/metode.9.11288,2019,"Montoliu - 2019 - La comunicación de la edición genética CRISPR, Entre el optimismo y las falsas expectativas.pdf",262
10.1038/nmicrobiol.2017.92,2017,nmicrobiol201792.pdf,263
10.3389/fcell.2023.1290876,2023,Niwa et al. - 2023 - ACE2 knockout hinders SARS-CoV-2 propagation in iPS cell-derived airway and alveolar epithelial cell.pdf,264
10.1016/j.omtn.2023.07.032,2023,Anderson et al. - 2023 - Non-viral in vivo cytidine base editing in hepatocytes using focused ultrasound targeted microbubble.pdf,265
10.1016/j.cell.2013.02.022,2013,Qi et al. - 2013 - Repurposing CRISPR as an RNA-Guided Platform for Sequence-Specific Control of Gene Expression.pdf,266
10.1038/nbt.2842,2014,"Sander and Joung - 2014 - CRISPR-Cas systems for editing, regulating and targeting genomes.pdf",267
10.1134/s0026893324010084,2024,S0026893324010084.pdf,268
10.1016/j.eti.2024.103625,2024,1-s2.0-S2352186424001019-main.pdf,269
10.1371/journal.pone.0198541,2018,Magee et al. - 2018 - Pre-existing technological core and roots for the CRISPR breakthrough.pdf,270
10.1128/jvi.01630-20,2020,Liu et al. - 2020 - Covalent Modifications of the Bacteriophage Genome Confer a Degree of Resistance to Bacterial CRISPR.pdf,271
10.1038/nature24644,2017,Gaudelli et al. - 2017 - Programmable base editing of A•T to G•C in genomic DNA without DNA cleavage.pdf,272
10.1038/s41380-023-02377-5,2023,Srinivas et al. - 2024 - Techniques for investigating lncRNA transcript functions in neurodevelopment.pdf,273
10.1111/emre.12653,2024,Plantec et al. - 2024 - Simultaneous Discovery–Invention in Corporate R&D Lessons from the CRISPR Case.pdf,274
10.1038/s41588-021-00778-2,2021,Papalexi et al. - 2021 - Characterizing the molecular regulation of inhibitory immune checkpoints with multimodal single-cell.pdf,275
10.3390/v12101172,2020,Fernandez-Garcia et al. - 2020 - Viral Related Tools against SARS-CoV-2.pdf,276
10.1016/j.tibtech.2023.05.004,2023,1-s2.0-S0167779923001518-main.pdf,277
10.1098/rstb.2018.0087,2019,Koonin and Makarova - 2019 - Origins and evolution of CRISPR-Cas systems.pdf,278
10.1134/s0026893317040033,2017,S0026893317040033.pdf,279
10.1038/nature.2016.20988,2016,nature.2016.20988.pdf,280
10.1016/j.foodres.2024.114358,2024,1-s2.0-S0963996924004289-main.pdf,281
10.3390/jcm13185512,2024,jcm-13-05512.pdf,282
10.3390/ijms25052456,2024,Leal et al. - 2024 - Current Strategies for Increasing Knock-In Efficiency in CRISPRCas9-Based Approaches.pdf,283
10.3390/sym11121445,2019,symmetry-11-01445.pdf,284
10.1371/journal.pone.0229782,2020,Lacchini et al. - 2020 - CRISPR-mediated accelerated domestication of African rice landraces.pdf,285
10.1021/acs.jcim.3c01339,2023,zhong-et-al-2023-unified-model-to-predict-grna-efficiency-across-diverse-cell-lines-and-crispr-cas9-systems.pdf,286
10.1093/scipol/scae010,2024,Barlevy et al. - 2024 - Governing with public engagement an anticipatory approach to human genome editing.pdf,287
10.1136/gutjnl-2020-323126,2021,Sun et al. - 2022 - RNA helicase DDX5 enables STAT1 mRNA translation and interferon signalling in hepatitis B virus repl.pdf,288
10.1016/j.gene.2018.10.072,2019,1-s2.0-S0378111918311168-main.pdf,289
10.1038/s42003-023-04708-2,2023,Shi et al. - 2023 - Collateral activity of the CRISPRRfxCas13d system in human cells.pdf,290
10.1093/plcell/koab099,2021,"Gaillochet et al. - 2021 - CRISPR screens in plants approaches, guidelines, and future prospects.pdf",291
10.1002/adfm.201703036,2017,Chen et al. - 2017 - Targeted Delivery of CRISPRCas9‐Mediated Cancer Gene Therapy via Liposome‐Templated Hydrogel Nanopa.pdf,292
10.1021/acs.chemrev.6b00077,2016,buchholz-et-al-2016-cre-recombinase-and-other-tyrosine-recombinases.pdf,293
10.1186/s13073-015-0178-7,2015,Mou et al. - 2015 - Precision cancer mouse models through genome editing with CRISPR-Cas9.pdf,294
10.1038/s41588-020-0623-4,2020,Enache et al. - 2020 - Cas9 activates the p53 pathway and selects for p53-inactivating mutations.pdf,295
10.1021/acsomega.3c04273,2023,León et al. - 2023 - Anti-SpCas9 IgY Polyclonal Antibodies Production for CRISPR Research Use.pdf,296
10.3389/fbioe.2023.1280647,2023,Huang and Shu - 2023 - Editorial Enzyme-based theranostics.pdf,297
10.1016/j.ymthe.2024.03.005,2024,Locatelli et al. - 2024 - Autologous gene therapy for hemoglobinopathies From bench to patient’s bedside.pdf,298
10.1002/jcp.30017,2020,Journal Cellular Physiology - 2020 - Ge - Myostatin site‐directed mutation and simultaneous PPAR  site‐directed knockin in.pdf,299
10.1016/j.molcel.2015.02.032,2015,Sternberg and Doudna - 2015 - Expanding the Biologist’s Toolkit with CRISPR-Cas9.pdf,300
10.1056/nejmra1800729,2019,Journal Cellular Physiology - 2020 - Ge - Myostatin site‐directed mutation and simultaneous PPAR  site‐directed knockin in.pdf,301
10.1002/tea.21679,2021,J Res Sci Teach - 2021 - Seiter - Content knowledge and social factors influence student moral reasoning about CRISPR Cas9.pdf,302
10.3390/ijms25063479,2024,Weaver-Rosen and Serwer - 2024 - Alzheimer’s Disease A Molecular Model and Implied Path to Improved Therapy.pdf,303
10.1038/s41556-019-0425-z,2019,s41556-019-0425-z.pdf,304
10.1093/nar/gkad425,2023,Zhou et al. - 2023 - CRISPRimmunity an interactive web server for CRISPR-associated Important Molecular events and Modul.pdf,305
10.1038/nbt.4273,2018,nbt.4273.pdf,306
10.56012/lzwz4471,2023,Nagarajan - 2023 - Advances in the CRISPR-Cas9 system and gene therapy.pdf,307
10.1016/j.virusres.2021.198578,2021,1-s2.0-S0168170221002859-main.pdf,308
10.1038/s12276-023-01057-2,2023,Choi et al. - 2023 - Genome editing in the treatment of ocular diseases.pdf,309
10.1051/e3sconf/202123302004,2021,Tang - 2021 - CRISPRCas9-based genome engineering in HIV gene therapy.pdf,310
10.1038/mt.2009.255,2010,Wu et al. - 2010 - Effect of Genome Size on AAV Vector Packaging.pdf,311
10.1534/genetics.117.300482,2018,Boateng and Allen - 2018 - New Role for an Old Protein An Educational Primer for Use with “The Identification of a Novel Mutan.pdf,312
10.1134/s0006297923140080,2023,Maloshenok et al. - 2023 - Visualizing the Nucleome Using the CRISPR–Cas9 System From in vitro to in vivo.pdf,313
10.1038/nature13695,2014,Findlay et al. - 2014 - Saturation editing of genomic regions by multiplex homology-directed repair.pdf,314
10.3390/biom10060839,2020,Yip - 2020 - Recent Advances in CRISPRCas9 Delivery Strategies.pdf,315
10.1007/s10142-023-01190-1,2023,s10142-023-01190-1.pdf,316
10.1016/j.csbj.2017.09.002,2017,Meiri et al. - 2017 - Personalized Therapy Against Preeclampsia by Replenishing Placental Protein 13 (PP13) Targeted to Pa.pdf,317
10.1101/gr.171264.113,2014,Ramakrishna et al. - 2014 - Gene disruption by cell-penetrating peptide-mediated delivery of Cas9 protein and guide RNA.pdf,318
10.1016/j.jconrel.2022.01.013,2022,Taha et al. - 2022 - Delivery of CRISPR-Cas tools for in vivo genome editing therapy Trends and challenges.pdf,319
10.3390/ijms25137349,2024,Rossi et al. - 2024 - Functional Genomics in Psoriasis.pdf,320
10.1016/j.cej.2024.152076,2024,1-s2.0-S1385894724035630-main.pdf,321
10.1002/cpz1.999,2024,Current Protocols - 2024 - Seliger - An Update on Protection of 5 ‐Hydroxyl Functions of Nucleosides and Oligonucleotides.pdf,322
10.3389/fgeed.2024.1346781,2024,Bijlani et al. - 2024 - Nuclease-free precise genome editing corrects MECP2 mutations associated with Rett syndrome.pdf,323
10.1016/j.molcel.2023.06.009,2023,Lue and Liau - 2023 - Base editor screens for in situ mutational scanning at scale.pdf,324
10.52601/bpr.2023.230029,2023,Xiang et al. - 2023 - Nucleoside deaminases the key players in base editing toolkit.pdf,325
10.1038/s41589-020-0490-4,2020,s41589-020-0490-4.pdf,326
10.1075/aila.00033.ans,2020,Anson et al. - 2020 - Reuse in STEM research writing Rhetorical and practical considerations and challenges.pdf,327
10.1126/science.1078395,2003,Porteus and Baltimore - 2003 - Chimeric Nucleases Stimulate Gene Targeting in Human Cells.pdf,328
10.1016/j.ymeth.2020.04.006,2021,Rahman and Tollefsbol - 2021 - Targeting cancer epigenetics with CRISPR-dCAS9 Principles and prospects.pdf,329
10.1126/science.aaf5573,2016,Abudayyeh et al. - 2016 - C2c2 is a single-component programmable RNA-guided RNA-targeting CRISPR effector.pdf,330
10.1128/jb.169.12.5429-5433.1987,1987,"Ishino et al. - 1987 - Nucleotide sequence of the iap gene, responsible for alkaline phosphatase isozyme conversion in Esch.pdf",331
10.1111/nph.19414,2023,"Puchta and Houben - 2024 - Plant chromosome engineering – past, present and future.pdf",332
10.1080/10408347.2023.2188955,2023,CRISPR Cas-based Aptasensor as an Innovative Sensing Approaches for Food Safety Analysis  Recent Progresses and New Horizons.pdf,333
10.1093/nar/gkae989,2024,gkae989.pdf,334
10.23987/sts.70114,2020,70114-Article Text-141029-2-10-20201214.pdf,335
10.1021/acsnano.4c12599,2024,chen-et-al-2024-applying-spatiotemporal-modeling-of-cell-dynamics-to-accelerate-drug-development.pdf,336
10.3389/fcell.2023.1175849,2023,Shan and Fei - 2023 - CRISPR screening in cardiovascular research.pdf,337
10.1093/nar/gkae016,2024,Bigelyte et al. - 2024 - Innate programmable DNA binding by CRISPR-Cas12m effectors enable efficient base editing.pdf,338
10.1038/s41587-020-00745-y,2020,"Vo et al. - 2021 - CRISPR RNA-guided integrases for high-efficiency, multiplexed bacterial genome engineering.pdf",339
10.1038/mtna.2015.37,2015,Zhang et al. - 2015 - Off-target Effects in CRISPRCas9-mediated Genome Engineering.pdf,340
10.1111/febs.17003,2023,Djajawi et al. - 2024 - Tumor immune evasion insights from CRISPR screens and.pdf,341
10.1073/pnas.1803440115,2018,Shmakov et al. - 2018 - Systematic prediction of genes functionally linked to CRISPR-Cas systems by gene neighborhood analys.pdf,342
10.3389/fgeed.2024.1495968,2024,Bhoobalan-Chitty et al. - 2024 - Genetic manipulation of bacteriophage T4 utilizing the CRISPR-Cas13b system.pdf,343
10.1073/pnas.2308415120,2023,Gao et al. - 2024 - Harnessing non-Watson–Crick’s base pairing to enhance CRISPR effectors cleavage activities and enabl.pdf,344
10.1007/s10539-018-9663-x,2019,s10539-018-9663-x.pdf,345
10.1016/j.molcel.2023.08.019,2023,PIIS109727652300655X.pdf,346
10.1002/cpz1.905,2023,Current Protocols - 2023 - Yao - FLASH Genome Editing Pipeline  An Efficient and High‐Throughput Method to Construct.pdf,347
10.1021/acssynbio.0c00073,2020,zhang-et-al-2020-multicopy-chromosomal-integration-using-crispr-associated-transposases.pdf,348
10.1111/jbg.12841,2023,J Animal Breeding Genetics - 2023 - Abebe - A review of the role of transcription factors in regulating adipogenesis and.pdf,349
10.1016/j.semnephrol.2017.09.008,2018,De Caestecker and Harris - 2018 - Translating Knowledge Into Therapy for Acute Kidney Injury.pdf,350
10.1016/j.chembiol.2024.07.007,2024,mmc2.pdf,351
10.1038/nbt0216-122b,2016,nbt0216-122b.pdf,352
10.1089/crispr.2023.0059,2023,Pyhtila et al. - 2023 - The Expanding Dissemination and Distribution Patterns of Diverse CRISPR Plasmids by Addgene.pdf,353
10.1007/s13562-022-00821-1,2023,s13562-022-00821-1.pdf,354
10.3390/ijms242216325,2023,Ding et al. - 2023 - CRISPRCas9-Mediated Genome Editing in Cancer Therapy.pdf,355
10.3390/ijms24043655,2023,Siles et al. - 2023 - High-Efficiency CRISPRCas9-Mediated Correction of a Homozygous Mutation in Achromatopsia-Patient-De.pdf,356
10.1007/s11229-021-03139-y,2021,s11229-021-03139-y.pdf,357
10.12938/bmfh.2024-009,2025,bmfh-44-070.pdf,358
10.3389/fpubh.2021.640598,2021,"Ozair and Singh - 2021 - Delivering High-Quality, Equitable Care in India An Ethically-Resilient Framework for Healthcare In.pdf",359
10.1080/08927022.2019.1648809,2019,Sturluson et al. - 2019 - The role of molecular modelling and simulation in the discovery and deployment of metal-organic fram.pdf,360
10.1007/s12015-019-09897-0,2019,s12015-019-09897-0.pdf,361
10.1038/s41568-024-00723-5,2024,s41568-024-00723-5.pdf,362
10.1016/j.tim.2024.05.006,2024,Pepke et al. - 2024 - Unraveling host regulation of gut microbiota through the epigenome–microbiome axis.pdf,363
10.1038/520593a,2015,Cyranoski and Reardon - 2015 - Embryo editing sparks epic debate.pdf,364
10.1111/odi.12487,2016,Peterson - 2017 - CRISPR  express delivery to any span style=font-var.pdf,365
10.1038/nrmicro3569,2015,Makarova et al. - 2015 - An updated evolutionary classification of CRISPR–Cas systems.pdf,366
10.1038/s41587-022-01255-9,2022,s41587-022-01255-9.pdf,367
10.1080/03036758.2017.1400984,2017,Development of capability for genome-scale CRISPR-Cas9 knockout screens in New Zealand.pdf,368
10.26508/lsa.202302128,2023,"Geng et al. - 2024 - Intrinsic deletion at 10q23.31, including the PTEN gene locus, is aggravated upon CRISPR-Cas9.pdf",369
10.1117/12.3013151,2024,129241V.pdf,370
10.1038/nbt.2501,2013,Hwang et al. - 2013 - Efficient genome editing in zebrafish using a CRISPR-Cas system.pdf,371
10.1007/s11248-021-00239-w,2021,s11248-021-00239-w.pdf,372
10.1016/j.jenvman.2024.123568,2025,1-s2.0-S0301479724035540-main.pdf,373
10.3390/ijms252312768,2024,Borovikova et al. - 2024 - Efficient Genome Editing Using ‘NanoMEDIC’ AsCas12a-VLPs Produced with Pol II-Transcribed crRNA.pdf,374
10.1007/s00604-024-06477-z,2024,s00604-024-06477-z.pdf,375
10.1021/acsnano.3c02669,2023,sun-et-al-2023-redox-responsive-phase-separating-peptide-as-a-universal-delivery-vehicle-for-crispr-cas9-genome-editing.pdf,376
10.1016/j.mib.2017.05.008,2017,"Koonin et al. - 2017 - Diversity, classification and evolution of CRISPR-Cas systems.pdf",377
10.1016/j.ymeth.2019.04.013,2019,1-s2.0-S1046202318303657-main.pdf,378
10.1093/nar/gkw908,2016,Nowak et al. - 2016 - Guide RNA engineering for versatile Cas9 functionality.pdf,379
10.1039/d4cc05639f,2024,d4cc05639f.pdf,380
10.1007/s13237-024-00496-0,2024,s13237-024-00496-0.pdf,381
10.1126/science.aat5011,2018,Knott and Doudna - 2018 - CRISPR-Cas guides the future of genetic engineering.pdf,382
10.1084/jem.20230146,2023,Du and Palczewski - 2023 - Eye on genome editing.pdf,383
10.1016/j.drudis.2022.103470,2023,1-s2.0-S1359644622004639-main.pdf,384
10.1111/j.1365-2958.2004.04222.x,2004,Molecular Microbiology - 2004 - Mangold - Synthesis of group A streptococcal virulence factors is controlled by a.pdf,385
10.1016/j.addr.2023.115026,2023,1-s2.0-S0169409X23003411-main.pdf,386
10.1134/s0006297916070075,2016,S0006297916070075.pdf,387
10.3390/cells12202444,2023,Geoffroy et al. - 2023 - CRISPR-Cas9 KO Cell Line Generation and Development of a Cell-Based Potency Assay for rAAV-FKRP Gene.pdf,388
10.1016/j.pt.2018.02.003,2018,1-s2.0-S1471492218300254-main.pdf,389
10.1093/nar/gkae1025,2024,Wang et al. - 2025 - CRISPRoffT comprehensive database of CRISPRCas off-targets.pdf,390
10.1038/s41587-024-02468-w,2024,s41587-024-02468-w.pdf,391
10.55446/ije.2022.918,2023,R et al. - 2023 - Application Of Genome Editing In Entomology.pdf,392
10.3390/jpm14010110,2024,Bailey et al. - 2024 - Monitoring Genomic Structural Rearrangements Resulting from Gene Editing.pdf,393
10.1016/j.preteyeres.2024.101323,2025,Corydon and Bek - 2025 - Multiple gene therapy as a tool for regulating the expression of molecules involved in neovascular a.pdf,394
10.1093/genetics/iyad067,2023,Ronai - 2023 - How molecular techniques are developed from natural systems.pdf,395
10.1038/s41467-021-25992-8,2021,Shams et al. - 2021 - Comprehensive deletion landscape of CRISPR-Cas9 identifies minimal RNA-guided DNA-binding modules.pdf,396
10.3390/agronomy12010164,2022,Le et al. - 2022 - Research Trends and Challenges of Using CRISPRCas9 for Improving Rice Productivity.pdf,397
10.3390/ijms241210233,2023,Dorta-Gorrín et al. - 2023 - Detection of SARS-CoV-2 Based on Nucleic Acid Amplification Tests (NAATs) and Its Integration into N.pdf,398
10.1126/science.aan8865,2017,science.aan8865.pdf,399
10.1038/s41587-020-0561-9,2020,s41587-020-0561-9.pdf,400
10.3390/plants13141884,2024,Mishra et al. - 2024 - CRISPRCas-Mediated Genome Engineering in Plants Application and Prospectives.pdf,401
10.1038/s41586-019-1288-y,2019,Davies - 2019 - The digitization of organic synthesis.pdf,402
10.1039/d4cc00290c,2024,d4cc00290c.pdf,403
10.1038/s41434-021-00263-9,2021,Scholefield and Harrison - 2021 - Prime editing – an update on the field.pdf,404
10.1016/j.scib.2023.10.025,2023,1-s2.0-S2095927323007259-main.pdf,405
10.1104/pp.15.00636,2015,Lowder et al. - 2015 - A CRISPRCas9 Toolbox for Multiplexed Plant Genome Editing and Transcriptional Regulation.pdf,406
10.3390/ijms25020705,2024,ijms-25-00705.pdf,407
10.34133/2020/9350905,2020,Hassan et al. - 2020 - Prime Editing Technology and Its Prospects for Future Applications in Plant Biology Research.pdf,408
10.1038/nrg.2017.97,2017,nrg.2017.97.pdf,409
10.1016/j.hpj.2024.06.001,2024,Yu et al. - 2024 - An efficient and universal protoplast-based transient gene expression system for genome editing in B.pdf,410
10.1111/rego.12335,2020,"Asquer and Krachkovskaya - 2021 - Uncertainty, institutions and regulatory responses to emerging technologies span style=font-varia.pdf",411
10.24310/bolarte.2019.v0i40.5359,2019,Medina - 2019 - La edición génica llama a las puertas del arte.pdf,412
10.21769/bioprotoc.4733,2023,Fuhrmeister and Streubel - 2023 - Simple Growth Complementation Assay in Yeast.pdf,413
10.1038/s41467-023-42359-3,2023,Sun et al. - 2023 - Developing mitochondrial base editors with diverse context compatibility and high fidelity via satur.pdf,414
10.1080/10717544.2018.1474964,2018,Lino et al. - 2018 - Delivering CRISPR a review of the challenges and approaches.pdf,415
10.1093/nar/gkae772,2024,Fehrenbach et al. - 2024 - SpacerPlacer ancestral reconstruction of CRISPR arrays reveals the evolutionary dynamics of spacer.pdf,416
10.1007/s12298-023-01397-3,2023,s12298-023-01397-3.pdf,417
10.1038/s41598-024-51358-3,2024,Taliei et al. - 2024 - Finding stable and closely linked QTLs against spot blotch in different planting dates during the ad.pdf,418
10.1021/acs.jafc.3c02094,2023,ji-et-al-2023-lateral-flow-strip-biosensors-for-foodborne-pathogenic-bacteria-via-direct-and-indirect-sensing.pdf,419
10.1093/bioinformatics/btae132,2024,Zhao et al. - 2024 - Tutorial on survival modeling with applications to omics data.pdf,420
10.1016/j.pediatrneurol.2024.01.021,2024,1-s2.0-S0887899424000341-main.pdf,421
10.1007/s12038-017-9723-4,2017,s12038-017-9723-4.pdf,422
10.1515/cclm-2018-0027,2018,Fiala and Diamandis - 2018 - Is it time to abandon the Nobel Prize.pdf,423
10.1002/med.21537,2018,Medicinal Research Reviews - 2018 - Wu - Progress in the application of CRISPR  From gene to base editing.pdf,424
10.1007/s42994-024-00168-2,2024,Ye et al. - 2024 - Efficient genome editing in rice with miniature Cas12f variants.pdf,425
10.1016/j.sbi.2023.102593,2023,Davey et al. - 2023 - The next wave of interactomics Mapping the SLiM-based interactions of the intrinsically disordered.pdf,426
10.1002/wsbm.1408,2017,WIREs Mechanisms of Disease - 2017 - Chew - Immunity to CRISPR Cas9 and Cas12a therapeutics.pdf,427
10.1038/s41587-019-0236-6,2019,Grünewald et al. - 2019 - CRISPR DNA base editors with reduced RNA off-target and self-editing activities.pdf,428
10.1016/j.ipm.2024.103793,2024,1-s2.0-S0306457324001535-main.pdf,429
10.1007/s12031-018-1076-4,2018,"Franco-Tormo et al. - 2018 - CRISPRCas9, the Powerful New Genome-Editing Tool for Putative Therapeutics in Obesity.pdf",430
10.1126/science.1225829,2012,Jinek et al. - 2012 - A Programmable Dual-RNA–Guided DNA Endonuclease in Adaptive Bacterial Immunity.pdf,431
10.1111/nph.18587,2022,New Phytologist - 2022 - Belshaw - Efficient gene replacement by CRISPR Cas‐mediated homologous recombination in the model.pdf,432
10.32113/wcrj_20203_1510,2020,e1510-A-review-on-genome-editing-by-crispr-cas9-technique-for-cancer-treatment.pdf,433
10.1073/pnas.1208507109,2012,Gasiunas et al. - 2012 - Cas9–crRNA ribonucleoprotein complex mediates specific DNA cleavage for adaptive immunity in bacteri.pdf,434
10.1016/j.cell.2021.01.041,2021,Cuella-Martin et al. - 2021 - Functional interrogation of DNA damage response variants with base editing screens.pdf,435
10.15252/embj.2023114760,2023,Sparmann and Vogel - 2023 - RNA ‐based medicine from molecular mechanisms to ther.pdf,436
10.26538/tjnpr/v7i12.4,2023,2023 - Cancer Biology and Therapeutics Navigating Recent Advances and Charting Future Directions.pdf,437
10.1038/nbt.2357,2012,nbt.2357.pdf,438
10.1038/nrmicro.2016.184,2017,Shmakov et al. - 2017 - Diversity and evolution of class 2 CRISPR–Cas systems.pdf,439
10.1128/jb.01412-07,2008,Deveau et al. - 2008 - Phage Response to CRISPR-Encoded Resistance in Streptococcus thermophilus.pdf,440
10.1126/science.adi6884,2024,science.adi6884.pdf,441
10.3390/cancers16101942,2024,Bleaney et al. - 2024 - Clinical Biomarkers of Tumour Radiosensitivity and Predicting Benefit from Radiotherapy A Systemati.pdf,442
10.1186/s12863-017-0477-7,2017,Homma et al. - 2017 - Protanopia (red color-blindness) in medaka a simple system for producing color-blind fish and testi.pdf,443
10.3390/cells13100800,2024,Laurent et al. - 2024 - CRISPR-Based Gene Therapies From Preclinical to Clinical Treatments.pdf,444
10.1111/imb.12879,2023,Yadav et al. - 2024 - Expansion of the genetic toolbox for manipulation of the global crop pest span style=font-variant.pdf,445
10.1038/s41592-024-02502-4,2024,s41592-024-02502-4.pdf,446
10.1038/s41467-019-09006-2,2019,Cullot et al. - 2019 - CRISPR-Cas9 genome editing induces megabase-scale chromosomal truncations.pdf,447
10.1186/s12929-023-00932-4,2023,Zein-Eddine et al. - 2023 - The future of CRISPR in Mycobacterium tuberculosis infection.pdf,448
10.3390/cancers15143689,2023,Rasmussen et al. - 2023 - Loss of PARP7 Increases Type I Interferon Signaling in EO771 Breast Cancer Cells and Prevents Mammar.pdf,449
10.1016/j.omtn.2023.02.032,2023,Siles et al. - 2023 - Efficient correction of ABCA4 variants by CRISPR-Cas9 in hiPSCs derived from Stargardt disease patie.pdf,450
10.1038/nmeth.4177,2017,Datlinger et al. - 2017 - Pooled CRISPR screening with single-cell transcriptome readout.pdf,451
10.1080/10495398.2024.2388704,2024,A review of emerging technologies  nutritional practices  and management strategies to improve intramuscular fat composition in beef cattle.pdf,452
10.1007/s00253-019-10007-w,2019,Song et al. - 2019 - CRISPRCas9 genome editing technology in filamentous fungi progress and perspective.pdf,453
10.1016/j.pharmthera.2017.01.003,2017,1-s2.0-S016372581730013X-main.pdf,454
10.1093/protein/gzq078,2010,He and Deem - 2010 - Low-dimensional clustering detects incipient dominant influenza strain clusters.pdf,455
10.1021/jacs.8b01551,2018,Rouet et al. - 2018 - Receptor-Mediated Delivery of CRISPR-Cas9 Endonuclease for Cell-Type-Specific Gene Editing.pdf,456
10.1126/sciadv.aao4774,2017,Komor et al. - 2017 - Improved base excision repair inhibition and bacteriophage Mu Gam protein yields CG-to-TA base edi.pdf,457
10.1111/1477-9552.12421,2021,Kilders and Caputo - 2021 - Is Animal Welfare Promoting Hornless Cattle Assessing Consumer’s Valuation for Milk from Gene‐edite.pdf,458
10.3390/agriculture14020282,2024,Rahman and Sanan-Mishra - 2024 - When an Intruder Comes Home GM and GE Strategies to Combat Virus Infection in Plants.pdf,459
10.1186/s40779-020-00292-2,2020,Li and Li - 2020 - CRISPRCas9 from bench to bedside what clinicians need to know before application.pdf,460
10.1016/j.gendis.2016.07.003,2016,Cai et al. - 2016 - CRISPR-mediated genome editing and human diseases.pdf,461
10.1126/sciadv.adp6166,2024,Liu et al. - 2024 - Light-activated CRISPR-Cas12a for amplified imaging of microRNA in cell cycle phases at single-cell.pdf,462
10.1016/j.eurpolymj.2024.113457,2024,1-s2.0-S0014305724007183-main.pdf,463
